Country,Population,GDP,Literacy,Phones,Birthrate,Deathrate,Agriculture,Industry,Service,Latitude,Longitude
Kuwait,2418393,19000,83.5,211,21.94,2.41,0,0.48,0.52,29.31166,47.481766
Kyrgyzstan,5213898,1600,97,84,22.8,7.08,0.35,0.21,0.44,41.20438,74.766098
Laos,6368481,1700,66.4,14.1,35.49,11.55,0.46,0.29,0.26,19.85627,102.495496
Latvia,2274735,10200,99.8,321.4,9.24,13.66,0.04,0.26,0.7,56.879635,24.603189
Lebanon,3874050,4800,87.4,255.6,18.52,6.21,0.12,0.21,0.67,33.854721,35.862285
Lesotho,2022331,3000,84.8,23.7,24.75,28.71,0.16,0.44,0.39,-29.609988,28.233608
Liberia,3042004,1000,57.5,2.3,44.77,23.1,0.77,0.05,0.18,6.428055,-9.429499
Libya,5900754,6400,82.6,127.1,26.49,3.48,0.08,0.5,0.43,26.3351,17.228331
Liechtenstein,33987,25000,100,585.5,10.21,7.18,0.06,0.39,0.55,47.166,9.555373
Lithuania,3585906,11400,99.6,223.4,8.75,10.98,0.06,0.33,0.62,55.169438,23.881275
Luxembourg,474413,55100,100,515.4,11.94,8.41,0.01,0.13,0.86,49.815273,6.129583
Macau,453125,19400,94.5,384.9,8.48,4.47,0,0.07,0.93,22.198745,113.543873
Macedonia,2050554,6700,,260,12.02,8.77,0.12,0.32,0.56,41.608635,21.745275
Madagascar,18595469,800,68.9,3.6,41.41,11.11,0.28,0.17,0.56,-18.766947,46.869107
Malawi,13013926,600,62.7,7.9,43.13,19.33,0.34,0.16,0.5,-13.254308,34.301525
Malaysia,24385858,9000,88.7,179,22.86,5.05,0.08,0.48,0.44,4.210484,101.975766
Maldives,359008,3900,97.2,90,34.81,7.06,0.2,0.18,0.62,3.202778,73.22068
Mali,11716829,900,46.4,6.4,49.82,16.89,0.45,0.17,0.38,17.570692,-3.996166
Malta,400214,17700,92.8,505,10.22,8.1,0.03,0.23,0.74,35.937496,14.375416
Marshall Islands,60422,1600,93.7,91.2,33.05,4.78,0.32,0.15,0.53,7.131474,171.184478
Martinique,436131,14400,97.7,394.4,13.74,6.48,0.06,0.11,0.83,14.641528,-61.024174
Mauritania,3177388,1800,41.7,12.9,40.99,12.16,0.25,0.29,0.46,21.00789,-10.940835
Mauritius,1240827,11400,85.6,289.3,15.43,6.86,0.06,0.3,0.64,-20.348404,57.552152
Mayotte,201234,2600,,49.7,40.95,7.7,,,,-12.8275,45.166244
Mexico,107449525,9000,92.2,181.6,20.69,4.74,0.04,0.26,0.7,23.634501,-102.552784
Micronesia. Fed. St.,108004,2000,89,114.8,24.68,4.75,0.29,0.15,0.56,39.909462,116.437959
Moldova,4466706,1800,99.1,208.1,15.7,12.64,0.21,0.23,0.56,47.411631,28.369885
Monaco,32543,27000,99,1035.6,9.19,12.91,0.17,,,43.7384176,7.4246158
Mongolia,2832224,1800,97.8,55.1,21.59,6.95,0.21,0.21,0.58,46.862496,103.846656
Montserrat,9439,3400,97,,17.59,7.1,,,,16.742498,-62.187366
Morocco,33241259,4000,51.7,40.4,21.98,5.58,0.22,0.36,0.43,31.791702,-7.09262
Mozambique,19686505,1200,47.8,3.5,35.18,21.35,0.26,0.35,0.39,-18.665695,35.529562
Namibia,2044147,7200,84,62.6,24.32,18.86,0.1,0.32,0.59,-22.95764,18.49041
Nauru,13287,5000,,143,24.76,6.7,,,,-0.522778,166.931503
Nepal,28287147,1400,45.2,15.9,30.98,9.31,0.38,0.21,0.41,28.394857,84.124008
Netherlands,16491461,28600,99,460.8,10.9,8.68,0.02,0.24,0.74,52.132633,5.291266
Netherlands Antilles,221736,11400,96.7,365.3,14.78,6.45,0.01,0.15,0.84,12.2018902,-68.2623822
New Caledonia,219246,15000,91,252.2,18.11,5.69,0.15,0.09,0.76,-20.904305,165.618042
New Zealand,4076140,21600,99,441.7,13.76,7.53,0.04,0.27,0.68,-40.900557,174.885971
Nicaragua,5570129,2300,67.5,39.7,24.51,4.45,0.17,0.28,0.56,12.865416,-85.207229
Niger,12525094,800,17.6,1.9,50.73,20.91,0.39,0.17,0.44,17.607789,8.081666
Nigeria,131859731,900,68,9.3,40.43,16.94,0.27,0.49,0.24,9.081999,8.675277
N. Mariana Islands,82459,12500,97,254.7,19.43,2.29,,,,15.0979,145.6739
Norway,4610820,37800,100,461.7,11.46,9.4,0.02,0.42,0.56,60.472024,8.468946
Oman,3102229,13100,75.8,85.5,36.24,3.81,0.03,0.39,0.58,21.4735329,55.975413
Pakistan,165803560,2100,45.7,31.8,29.74,8.23,0.22,0.25,0.53,30.375321,69.345116
Palau,20579,9000,92,325.6,18.03,6.8,0.06,0.12,0.82,7.51498,134.58252
Panama,3191319,6300,92.6,137.9,21.74,5.36,0.07,0.16,0.78,8.537981,-80.782127
Papua New Guinea,5670544,2200,64.6,10.9,29.36,7.25,0.35,0.38,0.27,-6.314993,143.95555
Paraguay,6506464,4700,94,49.2,29.1,4.49,0.22,0.21,0.57,-23.442503,-58.443832
Peru,28302603,5100,90.9,79.5,20.48,6.23,0.08,0.27,0.65,-9.189967,-75.015152
Philippines,89468677,4600,92.6,38.4,24.89,5.41,0.14,0.33,0.53,12.879721,121.774017
Poland,38536869,11100,99.8,306.3,9.85,9.89,0.05,0.31,0.64,51.919438,19.145136
Portugal,10605870,18000,93.3,399.2,10.72,10.5,0.05,0.27,0.67,39.399872,-8.224454
Puerto Rico,3927188,16800,94.1,283.1,12.77,7.65,0.01,0.45,0.54,18.220833,-66.590149
Qatar,885359,21500,82.5,232,15.56,4.72,0,0.8,0.2,25.354826,51.183884
Reunion,787584,5800,88.9,380.9,18.9,5.49,0.08,0.19,0.73,-21.115141,55.536384
Romania,22303552,7000,98.4,196.9,10.7,11.77,0.1,0.35,0.55,45.943161,24.96676
Russia,142893540,8900,99.6,280.6,9.95,14.65,0.05,0.37,0.58,61.52401,105.318756
Rwanda,8648248,1300,70.4,2.7,40.37,16.09,0.4,0.23,0.37,-1.940278,29.873888
Saint Helena,7502,2500,97,293.3,12.13,6.53,,,,-15.9650104,-5.7089241
Saint Kitts & Nevis,39129,8800,97,638.9,18.02,8.33,0.04,0.26,0.71,17.357822,-62.782998
Saint Lucia,168458,5400,67,303.3,19.68,5.08,0.07,0.2,0.73,13.909444,-60.978893
St Pierre & Miquelon,7026,6900,99,683.2,13.52,6.83,,,,46.8852,-56.3159
Saint Vincent and the Grenadines,117848,2900,96,190.9,16.18,5.98,0.1,0.26,0.64,12.984305,-61.287228
Samoa,176908,5600,99.7,75.2,16.43,6.62,0.11,0.58,0.3,-13.759029,-172.104629
San Marino,29251,34600,96,704.3,10.02,8.17,,,,43.94236,12.457777
Sao Tome & Principe,193413,1200,79.3,36.2,40.25,6.47,0.17,0.15,0.68,0.18636,6.613081
Saudi Arabia,27019731,11800,78.8,140.6,29.34,2.58,0.03,0.61,0.35,23.885942,45.079162
Senegal,11987121,1600,40.2,22.2,32.78,9.42,0.17,0.21,0.62,14.497401,-14.452362
Serbia,9396411,2200,93,285.8,,,0.17,0.26,0.58,44.016521,21.005859
Seychelles,81541,7800,58,262.4,16.03,6.29,0.03,0.3,0.67,-4.679574,55.491977
Sierra Leone,6005250,500,31.4,4,45.76,23.03,0.49,0.31,0.21,8.460555,-11.779889
Singapore,4492150,23700,92.5,411.4,9.34,4.28,0,0.34,0.66,1.352083,103.819836
Slovakia,5439448,13300,,220.1,10.65,9.45,0.04,0.29,0.67,48.669026,19.699024
Slovenia,2010347,19000,99.7,406.1,8.98,10.31,0.03,0.37,0.6,46.151241,14.995463
Solomon Islands,552438,1700,,13.4,30.01,3.92,0.42,0.11,0.47,-9.64571,160.156194
Somalia,8863338,500,37.8,11.3,45.13,16.63,0.65,0.1,0.25,5.152149,46.199616
South Africa,44187637,10700,86.4,107,18.2,22,0.03,0.3,0.67,-30.559482,22.937506
Spain,40397842,22000,97.9,453.5,10.06,9.72,0.04,0.3,0.67,40.463667,-3.74922
Sri Lanka,20222240,3700,92.3,61.5,15.51,6.52,0.18,0.28,0.55,7.873054,80.771797
Sudan,41236378,1900,61.1,16.3,34.53,8.97,0.39,0.2,0.41,12.862807,30.217636
Suriname,439117,4000,93,184.7,18.02,7.27,0.13,0.22,0.65,3.919305,-56.027783
Swaziland,1136334,4900,81.6,30.8,27.41,29.74,0.12,0.52,0.37,-26.522503,31.465866
Sweden,9016596,26800,99,715,10.27,10.31,0.01,0.28,0.71,60.128161,18.643501
Switzerland,7523934,32700,99,680.9,9.71,8.49,0.02,0.34,0.65,46.818188,8.227512
Syria,18881361,3300,76.9,153.8,27.76,4.81,0.25,0.23,0.52,34.802075,38.996815
